Created at	Closed at	Updated at	Saved at	State	Labels
Thu Apr 26 20:38:07 CEST 2018	Tue May 22 02:07:59 CEST 2018	Tue May 22 15:53:24 CEST 2018	null	closed	[bug, comments]	
Fri Apr 27 12:29:36 CEST 2018	Wed May 09 06:09:24 CEST 2018	Wed May 09 06:09:24 CEST 2018	null	closed	[bug, help wanted]	
Tue May 01 05:36:30 CEST 2018	Mon May 07 20:15:06 CEST 2018	Mon May 07 20:15:06 CEST 2018	null	closed	[bug]	
Wed May 02 11:58:52 CEST 2018	Mon May 07 19:41:10 CEST 2018	Mon May 07 20:33:55 CEST 2018	null	closed	[bug, invalid code]	
Mon May 07 23:25:50 CEST 2018	Wed May 16 07:13:24 CEST 2018	Wed May 16 07:13:24 CEST 2018	null	closed	[bug]	
Wed May 16 23:16:38 CEST 2018	Thu May 17 04:20:41 CEST 2018	Thu May 17 04:20:41 CEST 2018	null	closed	[bug]	
Fri May 18 19:29:49 CEST 2018	Tue May 22 00:21:23 CEST 2018	Tue May 22 00:21:23 CEST 2018	null	closed	[bug, invalid code]	
Sat May 19 01:45:04 CEST 2018	Mon May 21 23:58:56 CEST 2018	Mon May 21 23:58:56 CEST 2018	null	closed	[bug]	
Sat May 19 19:20:00 CEST 2018	Tue Jun 05 06:28:37 CEST 2018	Tue Jun 05 06:28:37 CEST 2018	null	closed	[bug]	
Sun May 20 05:16:47 CEST 2018	Tue May 22 01:38:42 CEST 2018	Tue May 22 01:38:42 CEST 2018	null	closed	[bug, invalid code]	
Sun May 20 23:26:26 CEST 2018	Mon May 21 21:30:40 CEST 2018	Mon May 21 21:30:40 CEST 2018	null	closed	[bug, invalid code]	
Sun May 20 23:54:47 CEST 2018	Tue May 22 09:40:00 CEST 2018	Tue May 22 09:40:00 CEST 2018	null	closed	[bug, unstable formatting]	
Sat May 26 00:05:16 CEST 2018	Tue Jun 05 00:52:07 CEST 2018	Tue Jun 05 00:52:07 CEST 2018	null	closed	[bug]	
