Created at	Closed at	Updated at	Saved at	State	Labels
Mon Mar 05 15:48:50 CET 2018	null	Sun Mar 25 21:05:59 CEST 2018	null	open	[bug, duplicate, enhancement, good first issue]	
Fri Apr 27 22:09:26 CEST 2018	Fri Apr 27 22:10:36 CEST 2018	Sat Apr 28 18:23:06 CEST 2018	null	closed	[bug]	
Fri Apr 27 22:10:08 CEST 2018	null	Fri Apr 27 22:10:08 CEST 2018	null	open	[enhancement]	
Fri Apr 27 22:10:26 CEST 2018	Fri Apr 27 22:10:43 CEST 2018	Fri Apr 27 22:10:43 CEST 2018	null	closed	[]	
Tue May 22 23:58:18 CEST 2018	Tue May 22 23:58:23 CEST 2018	Tue May 22 23:58:23 CEST 2018	null	closed	[bug]	
Tue May 22 23:58:38 CEST 2018	Tue May 22 23:58:51 CEST 2018	Tue May 22 23:58:51 CEST 2018	null	closed	[bug]	
